id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
624,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
625,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
626,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
627,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
628,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
629,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
630,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
631,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
632,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
633,Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
634,FU Tauri b,435,16 Jupiters,,2008
635,G 264-012 b,52,2.5 Earths,13.078,2021
636,G 264-012 c,52,3.75 Earths,13.078,2021
637,G 9-40 b,91,11.7 Earths,13.821,2019
